distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
34972.0801592233,[['RowPad' '11' 'C' 'T06-']],[['ColumnPad' '6' 'C' 'R11+']]
425.79302312391496,[['ColumnPad' '6' 'C' 'R11+']],[['ColumnPad' '6' 'C' 'R11-']]
469.5736269478972,[['ColumnPad' '6' 'C' 'R11-']],[['ColumnPad' '6' 'C' 'L11+']]
425.79267229956264,[['ColumnPad' '6' 'C' 'L11+']],[['ColumnPad' '6' 'C' 'L11-']]
35375.246542332905,[['ColumnPad' '6' 'C' 'L11-']],[['RowPad' '11' 'C' 'B06+']]
425.7933771208754,[['RowPad' '10' 'C' 'B04+']],[['RowPad' '10' 'C' 'B04-']]
469.5742752749558,[['RowPad' '10' 'C' 'B04-']],[['RowPad' '10' 'C' 'T04+']]
425.7933771208754,[['RowPad' '10' 'C' 'T04+']],[['RowPad' '10' 'C' 'T04-']]
48854.39194328344,[['RowPad' '10' 'C' 'T04-']],[['ColumnPad' '4' 'C' 'R10+']]
425.79267229956264,[['ColumnPad' '4' 'C' 'R10+']],[['ColumnPad' '4' 'C' 'R10-']]
469.57362694789737,[['ColumnPad' '4' 'C' 'R10-']],[['ColumnPad' '4' 'C' 'L10+']]
425.79267229956264,[['ColumnPad' '4' 'C' 'L10+']],[['ColumnPad' '4' 'C' 'L10-']]
49211.33519442528,[['ColumnPad' '4' 'C' 'L10-']],[['RowPad' '10' 'C' 'B04+']]
425.7933771208754,[['RowPad' '9' 'C' 'B02+']],[['RowPad' '9' 'C' 'B02-']]
469.5742752749558,[['RowPad' '9' 'C' 'B02-']],[['RowPad' '9' 'C' 'T02+']]
425.7933771208754,[['RowPad' '9' 'C' 'T02+']],[['RowPad' '9' 'C' 'T02-']]
62873.612681908184,[['RowPad' '9' 'C' 'T02-']],[['ColumnPad' '2' 'C' 'R09+']]
425.79267229956264,[['ColumnPad' '2' 'C' 'R09+']],[['ColumnPad' '2' 'C' 'R09-']]
469.57362694789725,[['ColumnPad' '2' 'C' 'R09-']],[['ColumnPad' '2' 'C' 'L09+']]
425.79302312391496,[['ColumnPad' '2' 'C' 'L09+']],[['ColumnPad' '2' 'C' 'L09-']]
63203.93533989764,[['ColumnPad' '2' 'C' 'L09-']],[['RowPad' '9' 'C' 'B02+']]
425.7933771208754,[['RowPad' '8' 'C' 'B00+']],[['RowPad' '8' 'C' 'B00-']]
469.5742752749558,[['RowPad' '8' 'C' 'B00-']],[['RowPad' '8' 'C' 'T00+']]
425.7933771208754,[['RowPad' '8' 'C' 'T00+']],[['RowPad' '8' 'C' 'T00-']]
469.5742752749558,[['RowPad' '8' 'C' 'T00-']],[['RowPad' '8' 'C' 'X00+']]
425.7933771208754,[['RowPad' '8' 'C' 'X00+']],[['RowPad' '8' 'C' 'X00-']]
76784.33413046767,[['RowPad' '8' 'C' 'X00-']],[['ColumnPad' '0' 'C' 'R08+']]
425.79267229956247,[['ColumnPad' '0' 'C' 'R08+']],[['ColumnPad' '0' 'C' 'R08-']]
469.5735670329017,[['ColumnPad' '0' 'C' 'R08-']],[['ColumnPad' '0' 'C' 'L08+']]
425.7926722995623,[['ColumnPad' '0' 'C' 'L08+']],[['ColumnPad' '0' 'C' 'L08-']]
76899.55490813912,[['ColumnPad' '0' 'C' 'L08-']],[['RowPad' '8' 'C' 'B00+']]
425.79236552691054,[['RowPad' '0' 'A' 'B08+']],[['RowPad' '0' 'A' 'B08-']]
469.573626947896,[['RowPad' '0' 'A' 'B08-']],[['RowPad' '0' 'A' 'T08+']]
425.793001097954,[['RowPad' '0' 'A' 'T08+']],[['RowPad' '0' 'A' 'T08-']]
73283.51316661885,[['RowPad' '0' 'A' 'T08-']],[['ColumnPad' '8' 'A' 'R00+']]
425.7933771208754,[['ColumnPad' '8' 'A' 'R00+']],[['ColumnPad' '8' 'A' 'R00-']]
469.5742752749558,[['ColumnPad' '8' 'A' 'R00-']],[['ColumnPad' '8' 'A' 'L00+']]
425.7933771208754,[['ColumnPad' '8' 'A' 'L00+']],[['ColumnPad' '8' 'A' 'L00-']]
73186.94448186764,[['ColumnPad' '8' 'A' 'L00-']],[['RowPad' '0' 'A' 'B08+']]
425.79300109795344,[['RowPad' '2' 'A' 'B09+']],[['RowPad' '2' 'A' 'B09-']]
469.5744614605884,[['RowPad' '2' 'A' 'B09-']],[['RowPad' '2' 'A' 'T09+']]
425.79300109795463,[['RowPad' '2' 'A' 'T09+']],[['RowPad' '2' 'A' 'T09-']]
59836.76693589834,[['RowPad' '2' 'A' 'T09-']],[['ColumnPad' '9' 'A' 'R02+']]
425.7933771208754,[['ColumnPad' '9' 'A' 'R02+']],[['ColumnPad' '9' 'A' 'R02-']]
469.5742752749558,[['ColumnPad' '9' 'A' 'R02-']],[['ColumnPad' '9' 'A' 'L02+']]
425.7933771208754,[['ColumnPad' '9' 'A' 'L02+']],[['ColumnPad' '9' 'A' 'L02-']]
59726.744468846155,[['ColumnPad' '9' 'A' 'L02-']],[['RowPad' '2' 'A' 'B09+']]
425.79236552691225,[['RowPad' '4' 'A' 'B10+']],[['RowPad' '4' 'A' 'B10-']]
469.5736269478972,[['RowPad' '4' 'A' 'B10-']],[['RowPad' '4' 'A' 'T10+']]
425.79300109795344,[['RowPad' '4' 'A' 'T10+']],[['RowPad' '4' 'A' 'T10-']]
46051.701379994214,[['RowPad' '4' 'A' 'T10-']],[['ColumnPad' '10' 'A' 'R04+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'R04+']],[['ColumnPad' '10' 'A' 'R04-']]
469.5742752749558,[['ColumnPad' '10' 'A' 'R04-']],[['ColumnPad' '10' 'A' 'L04+']]
