distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
-10.11,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248
140.0,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248
425.793,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248
57100.211,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501
56995.35,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123
57239.679,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
57134.903,RowPad,11,C,B02+,-54529.978,-11829.869,-27393.842,-57404.248,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
469.574,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248
140.0,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248
56797.109,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501
56690.09,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123
56936.512,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
56829.582,RowPad,11,C,B02-,-54529.978,-11829.869,-27323.842,-56984.248,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
425.793,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248
57020.022,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501
56915.995,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123
57159.515,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
57055.57,RowPad,11,C,T02+,-54529.978,-11829.869,-27533.842,-57404.248,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
56716.319,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501
56610.133,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123
56855.748,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
56749.649,RowPad,11,C,T02-,-54529.978,-11829.869,-27463.842,-56984.248,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
425.793,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123
140.0,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
425.793,ColumnPad,2,C,R11+,-54529.978,-11829.869,-60146.616,-10631.501,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
469.574,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123,ColumnPad,2,C,L11+,-54529.978,-11829.869,-60216.616,-10510.257
140.0,ColumnPad,2,C,R11-,-54529.978,-11829.869,-59747.886,-10482.123,ColumnPad,2,C,L11-,-54529.978,-11829.869,-59817.886,-10360.879
